"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","type"
8.4,0.4,0.7,13.1,0.042,29,197,0.998,3.06,0.64,9.7,5,"white"
7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8,"white"
5.7,0.22,0.25,1.1,0.05,97,175,0.99099,3.44,0.62,11.1,6,"white"
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,"red"
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,"red"
6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,6,"white"
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6,"red"
6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6,"white"
6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5,"white"
6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4,"red"
8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7,"red"
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,"white"
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6,"white"
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6,"red"
6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,6,"white"
7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6,"red"
5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5,4,"white"
7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5,"red"
6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3,"white"
6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,7,"white"
9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,3,"white"
6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7,"white"
6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6,"white"
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,"red"
6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,6,"white"
6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7,"white"
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,"white"
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6,"red"
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,"white"
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,"red"
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8,"white"
7.4,0.26,0.37,9.4,0.047,42,147,0.9982,3.46,0.72,10,5,"white"
6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5,"white"
7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,5,"white"
5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,7,"white"
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,"red"
6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,5,"white"
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6,"white"
6.6,0.425,0.25,2.35,0.034,23,87,0.99082,3.05,0.41,11.4,6,"white"
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5,"white"
6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6,"white"
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5,"white"
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,"red"
7,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5,8,"white"
6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6,"white"
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,5,"red"
6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6,"white"
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,"white"
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6,"white"
5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,6,"white"
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6,"red"
6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,8,"white"
7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,6,"red"
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5,"red"
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,"red"
7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,6,"red"
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5,"white"
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8,"white"
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,"white"
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5,"red"
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5,"red"
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,"red"
8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,6,"white"
11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,"red"
6.4,0.25,0.32,0.9,0.034,40,114,0.99114,3.31,0.58,10.8,7,"white"
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10,6,"white"
7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,6,"white"
9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6,"red"
7.3,0.17,0.23,6.3,0.051,35,240,0.9963,3.36,0.54,10,6,"white"
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,"white"
5.5,0.62,0.33,1.7,0.037,24,118,0.98758,3.15,0.39,13.55,6,"white"
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,"white"
6.9,0.33,0.26,5,0.027,46,143,0.9924,3.25,0.43,11.2,7,"white"
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7,"white"
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,"red"
7.1,0.09,0.3,6.2,0.032,24,134,0.993,2.99,0.39,10.9,6,"white"
8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,6,"red"
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,"red"
7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6,"white"
8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,"red"
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,"white"
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5,"red"
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,"red"
6.1,0.28,0.23,4.2,0.038,13,95,0.98898,2.97,0.7,13.1,6,"white"
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5,"white"
6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,6,"red"
5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5,"white"
6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,5,"white"
8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6,"white"
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,"white"
7.2,0.24,0.28,1.9,0.032,30,92,0.9914,3.1,0.39,10.9,6,"white"
6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6,"white"
7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,6,"white"
10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6,"red"
7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5,"white"
6.5,0.33,0.38,2.5,0.047,30,148,0.98964,3.17,0.43,12.7,6,"white"
10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6,"red"
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,"white"
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,"red"
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6,"red"
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6,"white"
8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6,"white"
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,"red"
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7,"red"
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,"red"
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,"white"
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7,"white"
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6,"white"
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,"white"
6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6,"white"
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5,"white"
5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7,"white"
7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,7,"white"
9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6,"red"
6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6,"white"
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5,"white"
8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5,"white"
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7,"red"
6.9,0.27,0.25,7.5,0.03,18,117,0.99116,3.09,0.38,13,6,"white"
6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,6,"white"
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5,"red"
7,0.22,0.26,1.1,0.037,20,71,0.9902,3.1,0.38,11.7,6,"white"
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5,"white"
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5,"white"
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6,"red"
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5,"white"
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,"white"
7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7,"white"
7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8,7,"white"
6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,6,"white"
4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5,"white"
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6,"red"
5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,6,"white"
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6,"white"
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8,"red"
8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5,"white"
7,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6,"white"
7.3,0.2,0.26,1.6,0.04,36,123,0.99238,3.34,0.44,10.8,6,"white"
8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5,"red"
8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5,"white"
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6,"red"
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,"white"
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6,"white"
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6,"red"
8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5,"white"
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,"red"
5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,7,"white"
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6,"white"
9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,"red"
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7,"white"
6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,7,"white"
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5,"red"
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6,"white"
6.4,0.24,0.22,1.5,0.038,38,157,0.9934,3.41,0.55,9.9,6,"white"
7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,5,"white"
8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,6,"white"
5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7,"white"
6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,5,"white"
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,"red"
6.6,0.32,0.26,7.7,0.054,56,209,0.9961,3.17,0.45,8.8,5,"white"
6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,7,"white"
6.6,0.41,0.31,1.6,0.042,18,101,0.99195,3.13,0.41,10.5,5,"white"
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,"white"
9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,7,"red"
6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,5,"white"
7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,6,"white"
7.5,0.305,0.38,1.4,0.047,30,95,0.99158,3.22,0.52,11.5,7,"white"
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6,"white"
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5,"white"
6.1,0.35,0.24,2.3,0.034,25,133,0.9906,3.34,0.59,12,7,"white"
6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6,"white"
8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5,"white"
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5,"white"
6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,6,"white"
6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5,"white"
6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10,6,"white"
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6,"red"
8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5,"red"
5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,6,"white"
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,"red"
8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,6,"white"
6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1,7,"white"
6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,5,"white"
6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6,"white"
6.6,0.27,0.52,8.1,0.044,53,202,0.99548,3.18,0.48,9.5,5,"white"
7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,6,"white"
6.6,0.25,0.41,7.4,0.043,29,151,0.9946,3.15,0.6,10.2,7,"white"
6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6,"red"
6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6,"white"
8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6,"red"
6.3,0.15,0.34,11.4,0.05,25,96,0.99754,3.21,0.49,10,6,"white"
6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5,"white"
5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,6,"white"
7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,5,"white"
7.9,0.14,0.28,1.8,0.041,44,178,0.9954,3.45,0.43,9.2,6,"white"
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5,"white"
6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,5,"white"
6.1,0.27,0.31,3.9,0.034,42,137,0.99218,3.24,0.46,10.9,6,"white"
6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,6,"white"
6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,7,"white"
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,"white"
6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5,7,"white"
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.63333333,6,"white"
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5,"white"
6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,6,"white"
6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7,"white"
7.5,0.35,0.37,2.5,0.066,29,89,0.98964,3.14,0.42,12.7,6,"white"
6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5,"white"
7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5,"white"
6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5,"white"
7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5,"white"
6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6,5,"white"
7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,5,"white"
7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,6,"white"
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,"white"
6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,6,"white"
7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7,"white"
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5,"white"
5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,6,"white"
6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6,"red"
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,"red"
7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6,"white"
8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5,"red"
